dia,pvs_totales,pvs_totales_usa,pvs_totales_mexico,pvs_ole_usa,pvs_ole_no_usa,notas_unicas,notas_unicas_usa,porc_notas_unicas_usa,browsers_unicos,browsers_unicos_arg,browsers_unicos_mex,browsers_unicos_usa,browsers_unicos_otros
2023-12-03 00:00:00,105768,84921,20847,0,105768,2141,0,0,33424,1299,7593,23799,733
2023-12-04 00:00:00,96807,78287,18520,0,96807,1981,0,0,29764,1168,6667,21255,674
2023-12-05 00:00:00,84423,68028,16395,0,84423,1901,0,0,27446,1053,5472,20389,532
2023-12-06 00:00:00,96913,77354,19559,0,96913,1864,0,0,39131,1031,8404,29053,643
2023-12-07 00:00:00,101310,82024,19286,0,101310,1916,0,0,39563,983,8128,29804,648
2023-12-08 00:00:00,83529,67358,16171,0,83529,1805,0,0,27462,828,4913,21210,511
2023-12-09 00:00:00,84660,68859,15801,0,84660,1850,0,0,26842,985,5078,20193,586
2023-12-10 00:00:00,82312,66641,15671,0,82312,1888,0,0,30816,966,6409,22798,643
2023-12-11 00:00:00,75701,57957,17744,0,75701,1817,0,0,26834,816,7553,18017,448
2023-12-12 00:00:00,76775,60649,16126,0,76775,1747,0,0,25141,870,6073,17720,478
2023-12-13 00:00:00,79727,61351,18376,0,79727,1901,0,0,26556,806,7564,17742,444
2023-12-14 00:00:00,72991,57526,15465,0,72991,1725,0,0,22667,813,5006,16400,448
2023-12-15 00:00:00,74413,58478,15935,0,74413,1743,0,0,24448,805,5763,17449,431
2023-12-16 00:00:00,75803,61785,14018,0,75803,1788,0,0,26097,879,5190,19504,524
2023-12-17 00:00:00,112366,93485,18881,0,112366,2023,0,0,38045,1337,6650,29124,934
2023-12-18 00:00:00,100694,79212,21482,0,100694,2073,0,0,35126,1178,8988,24192,768
2023-12-19 00:00:00,78318,62264,16054,0,78318,1868,0,0,27073,991,6177,19346,559
2023-12-20 00:00:00,71610,56822,14788,0,71610,1738,0,0,23631,822,5899,16437,473
2023-12-21 00:00:00,66004,52521,13483,1,66003,1609,0,0,19369,718,4374,13868,409
2023-12-22 00:00:00,98603,78002,20601,0,98603,1800,0,0,30938,1002,7527,21799,610
2023-12-23 00:00:00,83356,66480,16876,0,83356,1738,0,0,32182,875,8012,22589,706
2023-12-24 00:00:00,54140,43719,10421,0,54140,1600,0,0,21482,653,4719,15617,493
2023-12-25 00:00:00,50402,42077,8325,0,50402,1528,0,0,19226,689,3649,14436,452
2023-12-26 00:00:00,71619,54706,16913,4,71615,1745,0,0,29982,889,9108,19375,610
2023-12-27 00:00:00,71603,56414,15189,0,71603,1758,0,0,25060,956,5740,17800,564
2023-12-28 00:00:00,70622,57188,13434,1,70621,1704,0,0,23801,921,4774,17571,535
2023-12-29 00:00:00,61632,49908,11724,0,61632,1750,0,0,20273,872,4284,14618,499
2023-12-30 00:00:00,54703,40960,13743,0,54703,1767,0,0,20657,757,6441,13045,414
2023-12-31 00:00:00,50238,36635,13603,0,50238,1776,0,0,21284,717,7436,12715,416
2024-01-01 00:00:00,54469,37803,16666,0,54469,1675,0,0,25711,757,10378,14104,472
2024-01-02 00:00:00,64681,49017,15664,2,64679,1751,0,0,23309,989,6945,14904,471
2024-01-03 00:00:00,70255,53833,16422,0,70255,1854,0,0,24068,1080,7040,15477,471
2024-01-04 00:00:00,65444,51294,14150,0,65444,1803,0,0,21106,1071,5275,14302,458
2024-01-05 00:00:00,66269,53580,12689,0,66269,1699,0,0,20105,1128,4201,14329,447
